Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
30324,NEW RICHMOND,WI,54017,Monona,WI,53716,NA,NA,NA,617000,6/14/2000,2000,ALP,3.25,1,240,444130,SAINT CROIX,WI,CORPORATION,0,NA,0,Midwest,44,3817,617000,NA,240,YES,YES
30325,BROOKLYN,NY,11218,Albany,NY,12207,NA,NA,NA,517000,6/15/2000,2000,ALP,3.25,1,240,422430,KINGS,NY,CORPORATION,0,NA,0,Northeast,42,3818,517000,NA,240,YES,YES
30330,TUCSON,AZ,85747,Tuscon,AZ,85711,NA,NA,NA,119000,6/15/2000,2000,ALP,3.25,1,240,115210,PIMA,AZ,CORPORATION,0,NA,0,West,11,3818,119000,NA,240,YES,YES
30332,ALBUQUERQUE,NM,87102,Albuquerque,NM,87109,NA,NA,NA,184000,6/15/2000,2000,504,3.25,1,240,332321,BERNALILLO,NM,CORPORATION,0,NA,0,West,33,3818,184000,NA,240,YES,YES
30342,NORTHFIELD,VT,5663,Montpelier,VT,5601,NA,NA,NA,113000,6/16/2000,2000,504,3.25,1,240,NA,WASHINGTON,VT,CORPORATION,0,NA,0,Northeast,NA,3819,113000,NA,240,YES,YES
30391,BAKERSFIELD,CA,93301,Bakersfield,CA,93301,NA,NA,NA,137000,6/22/2000,2000,ALP,3.25,1,240,541110,KERN,CA,CORPORATION,0,NA,0,West,54,3825,137000,NA,240,YES,YES
30411,NOKESVILLE,VA,20181,Fairfax,VA,22030,NA,NA,NA,281000,6/23/2000,2000,504,3.25,1,240,NA,PRINCE WILLIAM,VA,CORPORATION,0,NA,0,South,NA,3826,281000,NA,240,YES,YES
30419,COLUMBUS,OH,43223,Columbus,OH,43215,NA,NA,NA,167000,6/23/2000,2000,PCLP,3.25,1,240,NA,FRANKLIN,OH,CORPORATION,1,10/3/2007,97929,Midwest,NA,3826,167000,0.586401198,88,YES,YES
30439,INDIO,CA,92201,San Diego,CA,92106,NA,NA,NA,104000,6/27/2000,2000,ALP,3.25,1,240,NA,RIVERSIDE,CA,CORPORATION,0,NA,0,West,NA,3830,104000,NA,240,YES,YES
30464,VILLAGE OF HORTONVILLE,WI,54944,Monona,WI,53716,NA,NA,NA,640000,6/29/2000,2000,504,3.25,1,240,321920,OUTAGAMIE,WI,CORPORATION,0,NA,0,Midwest,32,3832,640000,NA,240,YES,YES
30480,PAINESVILLE,OH,44077,Painesville,OH,44077,NA,NA,NA,1000000,6/30/2000,2000,504,3.25,1,240,336211,LAKE,OH,CORPORATION,1,11/30/2012,721714,Midwest,33,3833,1.00E+06,0.721714,151,YES,YES
30486,CERES,CA,95307,Modesto,CA,95353,NA,NA,NA,823000,6/30/2000,2000,504,3.25,1,240,NA,STANISLAUS,CA,CORPORATION,0,NA,0,West,NA,3833,823000,NA,240,YES,YES
30520,CONCORD,CA,94520,San Francisco,CA,94111,NA,NA,NA,414000,7/7/2000,2000,PCLP,3.25,1,240,NA,CONTRA COSTA,CA,CORPORATION,0,NA,0,West,NA,3840,414000,NA,240,YES,YES
30531,LYONS,WI,53148,Monona,WI,53716,NA,NA,NA,251000,7/7/2000,2000,ALP,3.25,1,240,NA,WALWORTH,WI,CORPORATION,0,NA,0,Midwest,NA,3840,251000,NA,240,YES,YES
30611,ROCHESTER,NY,14613,Rochester,NY,14614,NA,NA,NA,646000,7/19/2000,2000,504,3.25,1,240,NA,MONROE,NY,PARTNERSHIP,1,9/22/2011,411308,Northeast,NA,3852,646000,0.63669969,136,YES,YES
30624,MORGAN CITY,LA,70381,Lafayette,LA,70508,NA,NA,NA,660000,7/20/2000,2000,ALP,3.25,1,120,NA,SAINT MARY,LA,PARTNERSHIP,0,NA,0,South,NA,3853,660000,NA,120,YES,YES
30630,LUBBOCK,TX,79424,Lubbock,TX,79412,NA,NA,NA,237000,7/20/2000,2000,ALP,3.25,1,120,NA,LUBBOCK,TX,CORPORATION,0,NA,0,South,NA,3853,237000,NA,120,YES,YES
30648,VISTA,CA,92083,San Diego,CA,92106,NA,NA,NA,1000000,7/24/2000,2000,ALP,3.25,1,240,333319,SAN DIEGO,CA,CORPORATION,0,NA,0,West,33,3857,1.00E+06,NA,240,YES,YES
30699,NAPERVILLE,IL,60564,Chicago,IL,60605,NA,NA,NA,559000,7/31/2000,2000,504,3.25,1,240,321920,WILL,IL,CORPORATION,0,NA,0,Midwest,32,3864,559000,NA,240,YES,YES
30711,WENATACHEE,WA,98807,Spokane Valley,WA,99212,NA,NA,NA,118000,8/1/2000,2000,504,3.25,1,240,NA,CHELAN,WA,PARTNERSHIP,0,NA,0,West,NA,3865,118000,NA,240,YES,YES
30760,CEDAR CITY,UT,84720,Salt Lake City,UT,84109,NA,NA,NA,512000,8/9/2000,2000,504,3.25,1,240,NA,IRON,UT,CORPORATION,0,NA,0,West,NA,3873,512000,NA,240,YES,YES
30785,JACKSONVILLE,FL,32254,Jacksonville,FL,32256,NA,NA,NA,543000,8/11/2000,2000,504,3.25,1,240,421830,DUVAL,FL,CORPORATION,0,NA,0,South,42,3875,543000,NA,240,YES,YES
30813,MADISON,WI,53703,Monona,WI,53716,NA,NA,NA,113000,8/16/2000,2000,504,3.25,1,240,811111,DANE,WI,CORPORATION,0,NA,0,Midwest,81,3880,113000,NA,240,YES,YES
30839,LA MESA,CA,91942,San Diego,CA,92106,NA,NA,NA,750000,8/18/2000,2000,ALP,3.25,1,240,622210,SAN DIEGO,CA,CORPORATION,0,NA,0,West,62,3882,750000,NA,240,YES,YES
30841,APACHE JUNCTION,AZ,85275,Tuscon,AZ,85711,NA,NA,NA,428000,8/18/2000,2000,PCLP,3.25,1,240,722110,MARICOPA,AZ,CORPORATION,0,NA,0,West,72,3882,428000,NA,240,YES,YES
30861,FAIRFIELD,CA,94533,Pittsburgh,CA,94565,NA,NA,NA,493000,8/22/2000,2000,504,3.25,1,240,NA,SOLANO,CA,CORPORATION,0,NA,0,West,NA,3886,493000,NA,240,YES,YES
30924,TEMPE,AZ,85285,Tuscon,AZ,85711,NA,NA,NA,640000,8/29/2000,2000,PCLP,3.25,1,240,541511,MARICOPA,AZ,PARTNERSHIP,0,NA,0,West,54,3893,640000,NA,240,YES,YES
30950,FORT WAYNE,IN,46808,Fort Wayne,IN,46802,NA,NA,NA,214000,9/5/2000,2000,504,3.25,1,240,441222,ALLEN,IN,CORPORATION,1,3/19/2009,197765,Midwest,44,3900,214000,0.924135514,103,YES,YES
30987,MAPLE GROVE,MN,55369,Vadnais Heights,MN,55110,NA,NA,NA,571000,9/7/2000,2000,PCLP,3.25,1,240,442210,HENNEPIN,MN,CORPORATION,0,NA,0,Midwest,44,3902,571000,NA,240,YES,YES
31092,RENO,NV,89706,Las Vegas,NV,89144,NA,NA,NA,105000,9/20/2000,2000,ALP,3.25,1,240,NA,NA,NV,CORPORATION,0,NA,0,West,NA,3915,105000,NA,240,YES,YES
